job_link,job_title,job_company,job_location,job_contract,job_level,job_salary,job_salary_mean,job_tags,job_perks_and_benefits
https://aijobs.net/job/1305001-data-engineer-modern-data-hf/,Data Engineer – Modern Data (H/F),ASI,"Lyon, Auvergne-Rhône-Alpes, France",Full Time,,EUR 69K - 129K * ,99,Agile;Ansible;Architecture;AWS;Azure;CI/CD;Databricks;DataOps;dbt;DevOps;Docker;GCP;Git;GitLab;Jenkins;Maven;Pipelines;Python;Snowflake;Spark;SQL;Terraform,
https://aijobs.net/job/1304934-senior-back-end-engineer-nodejs/,Senior Back-End Engineer (NodeJs),Blackfluo.ai,"Paris, France",Full Time,Senior-level / Expert,EUR 95K - 177K * ,136,API Development;APIs;Engineering;Kubernetes;Machine Learning;ML models;Node.js;PostgreSQL;RDBMS;TypeScript,
https://aijobs.net/job/1304762-machine-learning-image-engineer/,Machine Learning Image Engineer,Blackfluo.ai,"Paris, France",Full Time,Mid-level / Intermediate,EUR 79K - 148K * ,113.5,Computer Vision;Docker;Engineering;LLMs;Machine Learning;ML models;Pipelines;Python;PyTorch,
https://aijobs.net/job/1304550-alternance-ingenieure-ia-services-publics-nantes/,Alternance - Ingénieur/e IA - Services Publics - Nantes,Sopra Steria,"Nantes, Pays de la Loire, France",Full Time;Internship,Entry-level / Junior,,,LangChain;LLMs;Python;RAG;Streamlit,
https://aijobs.net/job/1301896-data-scientist-speech-to-text-hf/,Data Scientist Speech-to-Text H/F,Inetum,"Nantes, Pays de la Loire, France",Full Time,Entry-level / Junior,EUR 58K - 108K * ,83,Consulting;NLP;Pipelines;Salesforce,
https://aijobs.net/job/1301569-data-scientist-junior-hf/,Data Scientist Junior H/F,Petit Forestier Group,"PETIT FORESTIER OFFICE, France",Full Time,Entry-level / Junior,EUR 58K - 108K * ,83,Git;GitLab;NumPy;Pandas;Power BI;Python;Qlik;R;Scikit-learn;SQL;Tableau,
https://aijobs.net/job/1300841-agentic-platform-team-lead-entalpic/,Agentic Platform Team Lead - @Entalpic,Breega,"Paris, France",Full Time,Senior-level / Expert,EUR 41K - 95K * ,68,APIs;Architecture;AWS;Chemistry;CI/CD;Data pipelines;DevOps;Docker;Engineering;GCP;Generative AI;Java;Kubernetes;LangChain;LLMs;Machine Learning;NLP;NoSQL;Pipelines;Python;RAG;Research;Rust;SQL;Terraform,Career development;Competitive pay;Equity / stock options;Flex hours;Flex vacation;Health care;Salary bonus;Startup environment
https://aijobs.net/job/1300692-data-engineer-stage-6-mois/,Data Engineer - Stage 6 mois,Brut.,"Paris, France",Full Time,Entry-level / Junior,EUR 55K - 103K * ,79,Architecture;AWS;Azure;CI/CD;GCP;Pipelines;Python,
https://aijobs.net/job/1300036-founding-data-scientist/,Founding Data Scientist,Opal,France,Full Time,Mid-level / Intermediate,EUR 61K - 114K * ,87.5,CX;Data strategy;dbt;Metabase;Python;Snowflake;SQL,Career development;Competitive pay;Equity / stock options;Startup environment
https://aijobs.net/job/1300029-data-scientist-ml-engineer/,Data Scientist / ML Engineer,Coface,"Bois-Colombes, IDF, France",Full Time,,EUR 72K - 135K * ,103.5,Airflow;APIs;Clustering;Docker;Engineering;Git;Java;Kubernetes;Linux;Machine Learning;NLP;NoSQL;Python;React;SQL,
https://aijobs.net/job/1299835-senior-back-end-engineer/,Senior Back-End Engineer,Nabla,Paris office,Full Time,Senior-level / Expert,EUR 95K - 177K * ,136,APIs;Architecture;Computer Science;Distributed Systems;Engineering;Excel;GCP;Google Cloud;GraphQL;Java;Kubernetes;LLMs;Machine Learning;PostgreSQL;Python;PyTorch;React;Research;Security;Terraform;TypeScript,Career development;Health care;Travel;Unlimited paid time off;Yoga
https://aijobs.net/job/1299834-senior-machine-learning-engineer/,Senior Machine Learning Engineer,Nabla,Paris office,Full Time,Senior-level / Expert,EUR 95K - 177K * ,136,APIs;Architecture;Engineering;Excel;GCP;Google Cloud;GPT;GPT-4;Kubernetes;LLMs;Machine Learning;OpenAI;Python;PyTorch;R;R&D;Research;Transformers;vLLM,Career development;Health care;Startup environment;Travel;Unlimited paid time off;Yoga
https://aijobs.net/job/1299833-machine-learning-engineer/,Machine Learning Engineer,Nabla,Paris office,Full Time,Mid-level / Intermediate,EUR 94K - 175K * ,134.5,APIs;Architecture;Copilot;Engineering;Excel;GCP;Google Cloud;GPT;GPT-4;Kubernetes;LLMs;Machine Learning;OpenAI;Python;PyTorch;Research;Transformers;vLLM,Career development;Health care;Travel;Unlimited paid time off;Yoga
https://aijobs.net/job/1299832-full-stack-engineer/,Full-Stack Engineer,Nabla,Paris office,Full Time,,EUR 79K - 148K * ,113.5,APIs;Architecture;Computer Science;Engineering;Excel;GCP;Google Cloud;GraphQL;Java;Kubernetes;LLMs;Machine Learning;PostgreSQL;Python;PyTorch;React;Research;Rust;Swift;Terraform;TypeScript;Vue,Career development;Health care;Travel;Unlimited paid time off;Yoga
https://aijobs.net/job/1299831-senior-full-stack-engineer/,Senior Full-Stack Engineer,Nabla,Paris office,Full Time,Senior-level / Expert,EUR 95K - 177K * ,136,APIs;Architecture;Computer Science;Distributed Systems;Engineering;Excel;GCP;Google Cloud;GraphQL;Java;Kubernetes;LLMs;Machine Learning;PostgreSQL;Python;PyTorch;React;Research;Security;Terraform;TypeScript;Vue,Career development;Health care;Travel;Unlimited paid time off;Yoga
https://aijobs.net/job/1299168-alternance-business-data-analyst-hf/,ALTERNANCE - Business Data Analyst H/F,Belron,"FR - CARGLASS SERVICES, France",Full Time;Internship,Entry-level / Junior,,,Big Data;CX;Excel;Looker;Salesforce;Snowflake;Tableau,
https://aijobs.net/job/1298849-stage/,Stage,CEA,DAM Île-de-France,Internship,Entry-level / Junior,,,Lidar;Matlab;Python,
https://aijobs.net/job/1298228-alternance-business-data-analyst-hf/,ALTERNANCE - Business Data Analyst H/F,Carglass,"FR - CARGLASS SERVICES, France",Full Time;Internship,Entry-level / Junior,,,Big Data;CX;Excel;Looker;Salesforce;Snowflake;Tableau,
https://aijobs.net/job/1298224-stage-data-analyst-hardware-quality-hf/,Stage - Data Analyst - Hardware Quality (H/F),Withings,"Issy-les-Moulineaux, Île-de-France, France",Full Time,Entry-level / Junior,EUR 42K - 78K * ,60,Airflow;Architecture;Computer Science;Dagster;Data analysis;Data Analytics;Data pipelines;dbt;Engineering;Looker;Metabase;Pipelines;Power BI;Python;SQL;Statistics;Tableau;Testing,Health care;Startup environment
https://aijobs.net/job/1298126-alternance-mondelez-lu-oreo-milka-apprentie-analyste-gestion-performance-industrielle-hfx-1-an-clamart-septembre-2025/,"Alternance Mondelez (LU, Oreo, Milka...) - Apprenti(e) Analyst(e) Gestion Performance Industrielle (H/F/X) - 1 an - Clamart - Septembre 2025",Mondelēz International,"Business Office - Clamart, France",Full Time;Internship,Entry-level / Junior,,,Excel;Finance;Power BI;Python,Career development;Relocation support
https://aijobs.net/job/1297641-developpeur-python-react-hf/,Développeur Python / React H/F,Smile,"Asnières-sur-Seine, France",Full Time,,EUR 34K - 79K * ,56.5,Agile;APIs;Architecture;Confluence;Docker;FastAPI;GCP;Git;GitLab;Google Cloud;Java;Jira;Kubernetes;LangChain;MongoDB;NoSQL;Open Source;Pipelines;PostgreSQL;Python;RAG;React;TDD,
https://aijobs.net/job/1297544-data-analyst-mst-department-hf/,Data Analyst - MS&T department (H/F),Galderma,"Alby, France",Full Time,Entry-level / Junior,EUR 42K - 78K * ,60,Python;SQL,
https://aijobs.net/job/1297451-data-visualization-internship/,"Data Visualization, Internship",Greenly,"Paris, France",Internship,Entry-level / Junior,,,Data visualization;Engineering;JavaScript;Python;SQL;TypeScript,Career development;Flex hours;Lunch / meals;Startup environment
https://aijobs.net/job/1297138-sales-specialist-with-french/,Sales Specialist with French,Acronis,France,Full Time,Executive-level / Director,EUR 44K - 103K * ,73.5,Excel;Salesforce;Security,Flex hours
https://aijobs.net/job/1297112-software-engineer-intern/,Software Engineer Intern,Docusign,"Paris, France",Internship,Entry-level / Junior,,,Agile;Computer Science;Distributed Systems;Engineering;JavaScript;Privacy;Python;Research;Testing;UX;UX Research,
https://aijobs.net/job/1296524-accelerator-data-architect-lyon/,Accelerator Data Architect (Lyon),Sanofi,"Paris, France",Full Time,Senior-level / Expert,EUR 107K - 200K * ,153.5,Agile;APIs;Architecture;AWS;Azure;Computer Science;Confluence;Data management;Data quality;Data visualization;Engineering;GraphQL;Informatica;Jira;Machine Learning;Snowflake,Career development;Equity / stock options;Flex hours;Health care;Parental leave;Wellness
https://aijobs.net/job/1295035-data-integration-engineer-iii/,Data Integration Engineer III,Halifax Health,"325 Bill France Boulevard, United States",Full Time,Senior-level / Expert,USD 93K - 173K * ,133,Computer Science;RDBMS;Research;Security;SQL;Testing,
https://aijobs.net/job/1294678-data-analyst-hf/,Data Analyst H/F,Fortil,"Nantes, France",Full Time,Entry-level / Junior,EUR 42K - 78K * ,60,Agile;Confluence;E-commerce;Finance;Jira;Kanban;Power BI;Python;R;Robotics;RPA;Scrum;SQL;Tableau,
